Cm,Ch,Bm,Bh,T,sR,sG,sB,L,A,B
0.002,0.003,0.01,0.6,0.25,253,212,189,88.07381921366445,10.763843278768448,16.952203140476808
0.002,0.003,0.01,0.65,0.25,254,215,190,88.73660858908616,10.123553641386673,17.406445537853045
0.002,0.003,0.01,0.75,0.25,252,214,191,88.46686784932751,10.051306114534809,16.133563928089778
0.002,0.003,0.01,0.8,0.25,253,213,193,88.31374145841656,10.969691318849451,15.270640600106834
0.002,0.003,0.01,0.85,0.25,252,213,192,88.27257264019514,10.26264950075234,15.50263589289036
0.002,0.02,0.01,0.6,0.25,235,177,168,77.3789033513514,19.664823235718497,12.741708219134518
0.002,0.02,0.01,0.65,0.25,236,179,166,77.95375265261458,18.625310883635393,14.921924038600643
0.002,0.02,0.01,0.75,0.25,238,177,164,77.60676907315975,20.291706872600123,15.528454825397265
0.002,0.02,0.01,0.8,0.25,237,177,166,77.63878880370443,20.30876878474225,14.47751452882251
0.002,0.02,0.01,0.85,0.25,237,180,159,78.21216949055103,18.068898481749695,18.624574957285354
0.002,0.07,0.01,0.6,0.25,208,156,155,69.28149070374198,19.70105459918381,7.793290815391352
0.002,0.07,0.01,0.65,0.25,214,153,155,69.1151588594006,23.279465215667706,8.033305610871455
0.002,0.07,0.01,0.75,0.25,219,147,154,68.47619386451521,27.92269687595972,7.777336825017311
0.002,0.07,0.01,0.8,0.25,218,150,151,68.83108705611372,25.823199384678308,9.968721023725479
0.002,0.07,0.01,0.85,0.25,221,150,154,69.25696557370631,27.225229459568734,8.483149627898179
0.002,0.16,0.01,0.6,0.25,197,146,154,65.70578643456541,20.462294614816024,3.5489724930193756
0.002,0.16,0.01,0.65,0.25,194,147,149,65.62688972710191,17.547721645447655,6.045214829242984
0.002,0.16,0.01,0.75,0.25,199,147,157,66.26791655209308,20.97452237219993,2.4007185450636515
0.002,0.16,0.01,0.8,0.25,204,139,153,64.75792878149556,26.91586623938269,2.686657725993369
0.002,0.16,0.01,0.85,0.25,196,139,151,63.880794874884614,23.542179033036238,2.464962088671707
0.002,0.32,0.01,0.6,0.25,179,140,147,62.11830857401982,16.09642607404671,1.923689876761503
0.002,0.32,0.01,0.65,0.25,179,142,148,62.61328603870686,15.104776026422018,2.1738332376545877
0.002,0.32,0.01,0.75,0.25,190,142,148,63.84154365319681,18.89721181959969,3.8669380636207284
0.002,0.32,0.01,0.8,0.25,185,139,147,62.64464088747246,18.450275003715376,2.6086782291071087
0.002,0.32,0.01,0.85,0.25,190,139,142,63.00148008632813,19.61873682895021,5.953247328013078
0.0135,0.003,0.01,0.6,0.25,239,192,159,81.27334211326469,12.464207243491899,23.089332283145225
0.0135,0.003,0.01,0.65,0.25,240,191,161,81.1471623454802,13.298296659039032,21.90380004570358
0.0135,0.003,0.01,0.75,0.25,239,192,159,81.14002673244097,12.538379719241322,22.703466077943645
0.0135,0.003,0.01,0.8,0.25,239,192,158,81.1477190592386,12.23936911543727,23.311680794026344
0.0135,0.003,0.01,0.85,0.25,239,192,158,81.21041783916573,12.005718601870552,23.238990982278928
0.0135,0.02,0.01,0.6,0.25,219,164,139,72.03799614626082,16.98215917643736,20.860495809704705
0.0135,0.02,0.01,0.65,0.25,220,162,143,71.8108019706103,19.03458908424982,18.440854286336418
0.0135,0.02,0.01,0.75,0.25,220,160,143,71.38436792999,20.014335979194275,18.00753869040035
0.0135,0.02,0.01,0.8,0.25,223,159,145,71.49141941607684,21.685569929334125,17.050586287267254
0.0135,0.02,0.01,0.85,0.25,224,161,140,71.77666012946189,20.66829920880242,20.15320491846433
