Cm,Ch,Bm,Bh,T,sR,sG,sB,L,A,B
0.002,0.003,0,0.6,0.01,248.53844477747955,209.31822875676676,182.16630182975683,86.59971479180528,9.808900108379925,18.587377828940156
0.002,0.003,0,0.6,0.09333333,250.24644840983768,209.4626195184342,184.6526557084946,86.84103367017228,10.702429405769154,17.63973129266445
0.002,0.003,0,0.6,0.17666667,251.92437711444458,212.54775959657653,186.25840383906603,87.77353518935449,9.938126102830347,18.12235326786911
0.002,0.003,0,0.6,0.25,253.30481037457184,213.6918016547945,189.31202175921842,88.23818331897901,10.268361611090127,17.18908572652136
0.002,0.003,0,0.65,0.01,248.7225343874234,209.49681758134165,181.34367691311388,86.64302451378222,9.674844183358344,19.082717814596094
0.002,0.003,0,0.65,0.09333333,249.86958991148953,209.87206962364743,184.32581446528437,86.89922876073433,10.305618302497265,17.88793993854174
0.002,0.003,0,0.65,0.17666667,252.343610442867,212.25037855361035,188.74772299897776,87.7910616248168,10.584675365722607,16.845690452149697
0.002,0.003,0,0.65,0.25,253.3839451034902,215.46253463905484,190.08055170406158,88.69011499133545,9.484831391146532,17.42054546081391
0.002,0.003,0,0.75,0.01,247.6813656407042,210.22178458726648,181.2127529118172,86.72285006059185,8.892380610142137,19.24844425896466
0.002,0.003,0,0.75,0.09333333,249.36725281224804,210.70307272242388,182.52169737213546,87.01854666864106,9.445153209812707,18.995719094688603
0.002,0.003,0,0.75,0.17666667,252.26251199321402,212.66607710269437,189.81008802168716,87.9066024521018,10.484213739065162,16.44877747122111
0.002,0.003,0,0.75,0.25,253.98676668655384,214.65231586122192,192.74229624833572,88.60378997608807,10.491491249339402,15.912029650490588
0.002,0.003,0,0.8,0.01,248.60897221727052,209.57272291345507,178.78020650216638,86.59954896156214,9.254335734894426,20.367227679186662
0.002,0.003,0,0.8,0.09333333,250.03713660721303,211.55816893920615,185.9866409755715,87.35784249986412,9.715994067325372,17.65857240386317
0.002,0.003,0,0.8,0.17666667,253.10931012499466,212.89931456965715,188.69934502585687,88.01612795958417,10.523955171406973,17.196763506726363
0.002,0.003,0,0.8,0.25,254.51740392189075,214.55582098485024,192.99479866006482,88.63349171371074,10.771087242326283,15.828241713426095
0.002,0.003,0,0.85,0.01,248.37549405590897,210.20219372529203,180.36024155817157,86.7633935918627,9.04820530241157,19.76201191915361
0.002,0.003,0,0.85,0.09333333,249.93228250556265,211.55675923296394,183.02636699830265,87.28732974367635,9.279530540081293,19.112934724632336
0.002,0.003,0,0.85,0.17666667,252.42947193310357,212.9866720160109,190.77921858564588,88.01963321672146,10.512445277232441,16.100751253928426
