Cm,Ch,Bm,Bh,T,sR,sG,sB,L,A,B
0.002,0.003,0,0.6,0.25,253,213,189,88.23818331897901,10.268361611090127,17.18908572652136
0.002,0.003,0,0.65,0.25,253,215,190,88.69011499133545,9.484831391146532,17.42054546081391
0.002,0.003,0,0.75,0.25,253,214,192,88.60378997608807,10.491491249339402,15.912029650490588
0.002,0.003,0,0.8,0.25,254,214,192,88.63349171371074,10.771087242326283,15.828241713426095
0.002,0.003,0,0.85,0.25,253,214,192,88.53814613094735,10.110318151064668,15.84945153893278
0.002,0.02,0,0.6,0.25,234,178,167,77.55879135829028,18.431751272964704,13.636022380919432
0.002,0.02,0,0.65,0.25,237,179,165,78.01708618049295,19.18195917693144,15.12795736257968
0.002,0.02,0,0.75,0.25,237,177,163,77.5271885470204,20.297095169887534,15.465969763272437
0.002,0.02,0,0.8,0.25,237,176,166,77.3223565748005,20.685514038200626,13.878583252270872
0.002,0.02,0,0.85,0.25,237,181,161,78.4641590883293,17.727382128599977,18.032529005457796
0.002,0.07,0,0.6,0.25,208,156,155,69.41677720912428,19.39271970348444,7.95410775001042
0.002,0.07,0,0.65,0.25,214,152,155,69.12814719592662,23.588055803925144,7.8331861039809825
0.002,0.07,0,0.75,0.25,220,146,154,68.23869311958845,28.908784557306443,7.108812079905102
0.002,0.07,0,0.8,0.25,218,150,151,68.75637134507951,25.658856150639785,9.888881134499773
0.002,0.07,0,0.85,0.25,221,148,154,68.99770138369425,28.23490777007559,8.12342878391792
0.002,0.16,0,0.6,0.25,197,146,154,65.68594011540972,20.587605510113573,3.4916602119479556
0.002,0.16,0,0.65,0.25,194,147,149,65.63493080308965,17.699165843691635,5.9827382533803375
0.002,0.16,0,0.75,0.25,198,147,157,66.15965681671017,20.818864541582215,2.20199882540435
0.002,0.16,0,0.8,0.25,203,138,153,64.60672723035913,26.86337232069036,2.400970896457233
0.002,0.16,0,0.85,0.25,197,139,151,64.00501687772068,23.955856503693028,2.6530906243843244
0.002,0.32,0,0.6,0.25,179,140,147,62.12206627864647,16.08594067267749,1.920457930595898
0.002,0.32,0,0.65,0.25,179,142,148,62.771696611240586,14.518707030716616,2.3603612674043317
0.002,0.32,0,0.75,0.25,190,142,148,63.772247834137346,19.16382970886782,3.7435948153470067
0.002,0.32,0,0.8,0.25,185,139,147,62.67838228462149,18.41772000658748,2.5078295406900653
0.002,0.32,0,0.85,0.25,190,139,142,63.066801487382094,19.673835918109674,5.911321710595607
0.0135,0.003,0,0.6,0.25,239,192,160,81.28281350218165,12.565798353063485,22.693432626194586
0.0135,0.003,0,0.65,0.25,241,191,162,81.25210667012945,13.87626167541528,21.60423015005728
0.0135,0.003,0,0.75,0.25,239,191,160,80.93040784427117,13.351318550251401,21.993962664646926
0.0135,0.003,0,0.8,0.25,239,191,159,80.89041909086227,12.837672704487824,22.44368830799357
0.0135,0.003,0,0.85,0.25,240,190,160,80.91027400400945,13.592038608026268,21.904141013445333
0.0135,0.02,0,0.6,0.25,222,163,140,72.22281132488283,18.44564260786702,20.39409021847709
0.0135,0.02,0,0.65,0.25,221,161,144,71.55274677703648,20.162610995628995,17.21092411682306
0.0135,0.02,0,0.75,0.25,220,159,144,71.06696065067783,20.483893145938847,16.774216168713817
0.0135,0.02,0,0.8,0.25,223,159,144,71.39630552203926,21.79894568792412,17.118160482231314
0.0135,0.02,0,0.85,0.25,223,161,141,71.84172814307018,20.414434369676325,19.3845166706744
0.0135,0.07,0,0.6,0.25,200,144,127,65.02789157255822,18.92719260328185,17.72187218671153
0.0135,0.07,0,0.65,0.25,203,142,130,65.01920440889117,21.490693288763516,15.64430183008052
0.0135,0.07,0,0.75,0.25,204,141,135,64.8275220964544,23.002132172794564,12.665857612579877
0.0135,0.07,0,0.8,0.25,202,144,136,65.38747190054222,20.96174464604689,13.057009096466544
0.0135,0.07,0,0.85,0.25,204,140,134,64.60880710586639,23.681086648021545,13.101737416972092
0.0135,0.16,0,0.6,0.25,178,126,131,58.220279291011096,20.883399362948087,5.223707116335241
0.0135,0.16,0,0.65,0.25,180,126,133,58.463010889640756,22.156107495403642,4.583963110230749
0.0135,0.16,0,0.75,0.25,185,128,131,59.579132013183454,22.355290015053374,7.269139817247794
0.0135,0.16,0,0.8,0.25,186,126,134,59.17210622256671,24.402437164854128,5.09435925210997
0.0135,0.16,0,0.85,0.25,191,129,131,60.55058761151436,24.208771668341623,8.95575411857774
0.0135,0.32,0,0.6,0.25,170,123,129,56.49627002780372,19.474871590848984,3.777761650897915
0.0135,0.32,0,0.65,0.25,168,124,131,56.56519087360941,18.415754444692123,2.9729021163280134
0.0135,0.32,0,0.75,0.25,174,125,126,57.47328482369609,19.292087997747675,7.1507163615425196
0.0135,0.32,0,0.8,0.25,178,125,125,57.774915002426766,20.64784611369308,8.361714620371007
0.0135,0.32,0,0.85,0.25,179,125,128,57.98061808204022,21.756758524570706,6.451338111633076
0.0425,0.003,0,0.6,0.25,212,155,114,68.7756910813886,16.130573977234608,29.775486350770052
0.0425,0.003,0,0.65,0.25,212,155,114,68.6441838685347,16.556093125460304,29.714186414413458
0.0425,0.003,0,0.75,0.25,212,157,115,69.08397348548537,15.283439838634616,29.724650306486964
0.0425,0.003,0,0.8,0.25,212,156,114,68.868654122955,15.901667097417526,30.093094186896096
0.0425,0.003,0,0.85,0.25,213,157,114,69.1799134492796,15.586309849765168,30.61427139096553
0.0425,0.02,0,0.6,0.25,196,130,105,60.71515532922798,22.723465198078273,23.97745535525193
0.0425,0.02,0,0.65,0.25,198,129,106,60.709286834690744,24.062275709247793,23.37935055339322
0.0425,0.02,0,0.75,0.25,197,131,104,61.1820361717549,22.270354877407637,24.98698822072496
0.0425,0.02,0,0.8,0.25,198,131,105,61.09281908996746,22.955465192349035,24.27689102678292
0.0425,0.02,0,0.85,0.25,197,133,103,61.647103606486795,20.99058053872066,26.36308190194898
0.0425,0.07,0,0.6,0.25,179,116,104,55.344833949936145,23.05794047553317,17.021086075461156
0.0425,0.07,0,0.65,0.25,175,115,105,54.649390543332586,22.611962421602072,15.551170805427716
0.0425,0.07,0,0.75,0.25,181,121,102,56.78691072074926,21.33462454009294,20.025485229240015
0.0425,0.07,0,0.8,0.25,186,119,100,56.80516315224078,24.292258475784145,21.09785169183649
0.0425,0.07,0,0.85,0.25,183,119,99,56.49301742805869,22.617152045174283,21.63714276296147
0.0425,0.16,0,0.6,0.25,172,115,101,54.19628504171551,20.717183254131132,17.135099282007204
0.0425,0.16,0,0.65,0.25,166,112,102,52.75735525519244,19.799489480289367,14.400867677527884
0.0425,0.16,0,0.75,0.25,171,111,96,52.866959906314364,21.979544352339676,18.065648226688147
0.0425,0.16,0,0.8,0.25,176,110,96,53.41967396925226,24.535870356403365,19.0598098838497
0.0425,0.16,0,0.85,0.25,175,110,97,53.3289168277841,24.13425323212054,17.943568691881097
0.0425,0.32,0,0.6,0.25,154,114,103,51.86997502679705,13.958809346137635,12.078082807501623
0.0425,0.32,0,0.65,0.25,153,111,100,50.99560865837971,15.033720236453663,12.786522058829819
