Cm,Ch,Bm,Bh,T,sR,sG,sB,L,A,B
0.002,0.003,0.001,0.001,0.05,249.491,210.925,182.47,87.0826977787033,9.369192149433768,19.113863755646587
0.002,0.003,0.001,0.001,0.1833,251.702,212.954,189.5,87.91934921248723,10.085222786109293,16.623636252790618
0.002,0.003,0.001,0.001,0.3167,252.56,215.126,194.53,88.62904780048326,9.971717423200133,14.99241587526432
0.002,0.003,0.001,0.001,0.45,253.52,216.748,196.18,89.14263664405414,9.713711616172905,14.863592335385167
0.002,0.003,0.001,0.5,0.05,250.726,211.999,182.04,87.44639443837725,9.214647600202408,19.86248475840693
0.002,0.003,0.001,0.5,0.1833,253.254,214.21,188.46,88.34130691424612,9.86541803204588,17.779922905809453
0.002,0.003,0.001,0.5,0.3167,253.762,215.768,192.77,88.85402061738364,9.834527905705936,16.248876590605654
0.002,0.003,0.001,0.5,0.45,254.312,217.424,194.41,89.33881752379015,9.407003398420489,16.07594011739517
0.002,0.003,0.001,0.999,0.05,252.293,213.345,181.83,87.91071407654172,9.07411724653967,20.63607886718748
0.002,0.003,0.001,0.999,0.1833,253.453,215.71,188.67,88.72700808044803,9.190273679603012,18.21340054225189
0.002,0.003,0.001,0.999,0.3167,255.023,216.711,193.55,89.21124551036772,9.917383640168087,16.35539223873885
0.002,0.003,0.001,0.999,0.45,255.319,218.371,194.79,89.66548688142177,9.338109429200326,16.351731201653365
0.002,0.003,0.3337,0.001,0.05,249.159,210.507,182.27,86.9468227274283,9.435868953384329,19.02617522352297
0.002,0.003,0.3337,0.001,0.1833,250.475,212.104,188.8,87.58853253726684,9.978998628448254,16.507958665549396
0.002,0.003,0.3337,0.001,0.3167,251.78,213.841,192.79,88.21096344591942,10.109267274476474,15.30563933415876
0.002,0.003,0.3337,0.001,0.45,252.134,215.029,194.46,88.56597119608958,9.856258395736061,14.935571671509763
0.002,0.003,0.3337,0.5,0.05,250.07,211.398,180.85,87.21736970826818,9.124841504806525,20.158439200234234
0.002,0.003,0.3337,0.5,0.1833,251.787,213.125,188.42,87.94576992903612,9.880199758236952,17.228654355504403
0.002,0.003,0.3337,0.5,0.3167,252.507,214.713,191.87,88.46772655852624,9.796245129786884,16.157597934179634
0.002,0.003,0.3337,0.5,0.45,253.129,216.028,192.43,88.85358435363825,9.420805438733638,16.416760162040255
0.002,0.003,0.3337,0.999,0.05,251.437,212.722,182.07,87.6866450781439,9.1083624580241,20.192425113943656
0.002,0.003,0.3337,0.999,0.1833,252.754,213.977,187.81,88.22647883329846,9.713646581481383,17.952361801275973
0.002,0.003,0.3337,0.999,0.3167,253.789,215.523,191.55,88.77155281712025,9.804203369654928,16.769075270907273
0.002,0.003,0.3337,0.999,0.45,254.042,217.013,192.92,89.18390356278981,9.314282079109947,16.63415629889029
0.002,0.003,0.6663,0.001,0.05,248.241,209.361,182.33,86.58642999134385,9.697464859503125,18.48090251612462
0.002,0.003,0.6663,0.001,0.1833,249.449,211.027,188.8,87.23478482317168,10.159789845631039,16.000442137492634
0.002,0.003,0.6663,0.001,0.3167,250.433,212.683,192.17,87.79657773163713,10.129838418418412,15.030116999811671
0.002,0.003,0.6663,0.001,0.45,251.208,213.514,194.63,88.12013243201835,10.327318552894427,14.205795194995808
0.002,0.003,0.6663,0.5,0.05,249.551,210.577,180.81,86.9698368252716,9.351836027205962,19.829515638345207
