Cm,Ch,Bm,Bh,T,sR,sG,sB,L,A,B
0.002,0.003,0.001,0.7,0.01,282.522,253.388,245.8,101.5230638,8.580564625,7.177680452
0.002,0.003,0.001,0.7,0.09333333,280.446,250.252,238.61,100.4399441,8.352999517,9.277188665
0.002,0.003,0.001,0.7,0.17666667,279.117,248.152,234.02,99.72482206,8.266254461,10.58652983
0.002,0.003,0.001,0.7,0.25,278.093,246.645,230.94,99.21065594,8.213756381,11.42194721
0.002,0.003,0.25,0.7,0.01,282.192,253.092,245.58,101.4204803,8.582483154,7.139000039
0.002,0.003,0.25,0.7,0.09333333,279.839,249.627,238.13,100.2296919,8.387266123,9.210858943
0.002,0.003,0.25,0.7,0.17666667,278.333,247.327,233.4,99.44860209,8.31688488,10.50268902
0.002,0.003,0.25,0.7,0.25,277.148,245.651,230.21,98.87771798,8.278783031,11.30962342
0.002,0.003,0.5,0.7,0.01,281.877,252.792,245.35,101.3181556,8.591344213,7.102220433
0.002,0.003,0.5,0.7,0.09333333,279.248,249.015,237.63,100.0233048,8.415235035,9.166960427
0.002,0.003,0.5,0.7,0.17666667,277.537,246.486,232.79,99.16747589,8.37366303,10.40588776
0.002,0.003,0.5,0.7,0.25,276.198,244.659,229.48,98.54460957,8.339658607,11.19971596
0.002,0.003,0.75,0.7,0.01,281.576,252.501,245.13,101.2188196,8.601283983,7.068097321
0.002,0.003,0.75,0.7,0.09333333,278.653,248.391,237.17,99.81436051,8.454359526,9.099105231
0.002,0.003,0.75,0.7,0.17666667,276.771,245.646,232.2,98.88954897,8.444099214,10.30134297
0.002,0.003,0.75,0.7,0.25,275.286,243.678,228.76,98.21723981,8.411824776,11.09023082
0.002,0.003,0.999,0.7,0.01,281.261,252.207,244.93,101.118166,8.609166165,7.026241587
0.002,0.003,0.999,0.7,0.09333333,278.064,247.79,236.71,99.61135567,8.485190092,9.03615595
0.002,0.003,0.999,0.7,0.17666667,275.948,244.817,231.6,98.60889141,8.486460606,10.20147631
0.002,0.003,0.999,0.7,0.25,274.351,242.709,228.1,97.89178944,8.475949021,10.9592792
0.002,0.0175,0.001,0.7,0.01,282.543,253.407,245.83,101.530197,8.583059248,7.171414025
0.002,0.0175,0.001,0.7,0.09333333,280.474,250.292,238.69,100.4535859,8.355022142,9.25488453
0.002,0.0175,0.001,0.7,0.17666667,279.154,248.201,234.15,99.74245835,8.273375957,10.54793185
0.002,0.0175,0.001,0.7,0.25,278.138,246.72,231.08,99.23559384,8.21248148,11.3852758
0.002,0.0175,0.25,0.7,0.01,282.207,253.108,245.62,101.4264605,8.586567753,7.125980393
0.002,0.0175,0.25,0.7,0.09333333,279.872,249.661,238.22,100.2423435,8.394063823,9.187899446
0.002,0.0175,0.25,0.7,0.17666667,278.366,247.381,233.51,99.46655392,8.317643686,10.47328832
0.002,0.0175,0.25,0.7,0.25,277.195,245.71,230.36,98.89897778,8.286249594,11.26700537
0.002,0.0175,0.5,0.7,0.01,281.892,252.811,245.4,101.3249341,8.593731685,7.089373081
0.002,0.0175,0.5,0.7,0.09333333,279.282,249.055,237.7,100.0370722,8.417153832,9.152911066
0.002,0.0175,0.5,0.7,0.17666667,277.584,246.523,232.89,99.18246635,8.385831642,10.37796623
0.002,0.0175,0.5,0.7,0.25,276.24,244.733,229.59,98.56811353,8.333367061,11.17750045
0.002,0.0175,0.75,0.7,0.01,281.59,252.515,245.17,101.2244358,8.604934015,7.056292515
0.002,0.0175,0.75,0.7,0.09333333,278.696,248.432,237.25,99.82975934,8.461987764,9.07617765
0.002,0.0175,0.75,0.7,0.17666667,276.807,245.706,232.3,98.90915583,8.440970457,10.27907783
0.002,0.0175,0.75,0.7,0.25,275.345,243.74,228.87,98.23933183,8.415883206,11.06962716
0.002,0.0175,0.999,0.7,0.01,281.276,252.231,244.96,101.126013,8.607738609,7.020044705
0.002,0.0175,0.999,0.7,0.09333333,278.095,247.831,236.78,99.6255753,8.485976065,9.018811466
0.002,0.0175,0.999,0.7,0.17666667,275.997,244.862,231.73,98.6265596,8.501379878,10.1570677
0.002,0.0175,0.999,0.7,0.25,274.404,242.753,228.23,97.91000426,8.49269595,10.91411262
0.002,0.0591,0.001,0.7,0.01,282.59,253.458,245.94,101.5487601,8.591023939,7.140825037
0.002,0.0591,0.001,0.7,0.09333333,280.572,250.398,238.89,100.4916342,8.36576855,9.206238374
0.002,0.0591,0.001,0.7,0.17666667,279.252,248.356,234.45,99.7944822,8.273179284,10.46974422
0.002,0.0591,0.001,0.7,0.25,278.284,246.891,231.42,99.29602912,8.226625653,11.30143514
0.002,0.0591,0.25,0.7,0.01,282.255,253.16,245.72,101.4453945,8.592268068,7.100333791
0.002,0.0591,0.25,0.7,0.09333333,279.953,249.778,238.43,100.2819981,8.395460534,9.134510341
0.002,0.0591,0.25,0.7,0.17666667,278.482,247.512,233.77,99.5134968,8.330031527,10.40902095
0.002,0.0591,0.25,0.7,0.25,277.315,245.901,230.7,98.96237061,8.282140235,11.18280706
0.002,0.0591,0.5,0.7,0.01,281.94,252.864,245.5,101.3437811,8.59875654,7.066335276
0.002,0.0591,0.5,0.7,0.09333333,279.358,249.152,237.95,100.0723778,8.432112862,9.075712843
0.002,0.0591,0.5,0.7,0.17666667,277.68,246.696,233.18,99.23832461,8.375924043,10.30680632
0.002,0.0591,0.5,0.7,0.25,276.38,244.911,229.96,98.63077927,8.347056917,11.07855285
0.002,0.0591,0.75,0.7,0.01,281.634,252.568,245.28,101.2429574,8.609758834,7.029406883
0.002,0.0591,0.75,0.7,0.09333333,278.772,248.545,237.46,99.86752632,8.461396621,9.027994002
0.002,0.0591,0.75,0.7,0.17666667,276.921,245.849,232.57,98.95887543,8.448800745,10.21139649
0.002,0.0591,0.75,0.7,0.25,275.452,243.921,229.21,98.29950758,8.412853927,10.97825232
0.002,0.0591,0.999,0.7,0.01,281.323,252.274,245.06,101.1424864,8.618206406,6.990759932
0.002,0.0591,0.999,0.7,0.09333333,278.171,247.934,236.98,99.66112381,8.490976618,8.966879202
0.002,0.0591,0.999,0.7,0.17666667,276.11,245.01,232,98.67744272,8.504637599,10.09645419
0.002,0.0591,0.999,0.7,0.25,274.544,242.913,228.54,97.96679931,8.505764022,10.84089202
0.002,0.1503,0.001,0.7,0.01,282.701,253.579,246.16,101.5916994,8.602055399,7.091073746
0.002,0.1503,0.001,0.7,0.09333333,280.775,250.649,239.42,100.5802097,8.388920918,9.066200939
0.002,0.1503,0.001,0.7,0.17666667,279.517,248.688,235.1,99.91034326,8.294071806,10.30723567
0.002,0.1503,0.001,0.7,0.25,278.59,247.294,232.14,99.43399357,8.236131136,11.13211263
0.002,0.1503,0.25,0.7,0.01,282.365,253.271,245.95,101.485939,8.609089389,7.044140522
0.002,0.1503,0.25,0.7,0.09333333,280.151,250.015,238.91,100.3656233,8.415682603,9.014422433
0.002,0.1503,0.25,0.7,0.17666667,278.727,247.852,234.47,99.63061537,8.347598791,10.2214064
0.002,0.1503,0.25,0.7,0.25,277.628,246.283,231.43,99.09613196,8.307322417,11.00087974
0.002,0.1503,0.5,0.7,0.01,282.042,252.978,245.73,101.3846715,8.611882055,7.00752851
0.002,0.1503,0.5,0.7,0.09333333,279.548,249.382,238.45,100.1541819,8.457426433,8.939037362
0.002,0.1503,0.5,0.7,0.17666667,277.94,247.019,233.81,99.35158655,8.397525555,10.14716615
0.002,0.1503,0.5,0.7,0.25,276.676,245.294,230.72,98.76406896,8.369158879,10.8824711
0.002,0.1503,0.75,0.7,0.01,281.729,252.684,245.5,101.2837682,8.618305049,6.973959796
0.002,0.1503,0.75,0.7,0.09333333,278.974,248.781,237.96,99.95200339,8.488216146,8.894221368
0.002,0.1503,0.75,0.7,0.17666667,277.181,246.163,233.2,99.06971016,8.473760937,10.05228708
0.002,0.1503,0.75,0.7,0.25,275.738,244.304,230,98.43253887,8.43550297,10.76845781
0.002,0.1503,0.999,0.7,0.01,281.425,252.387,245.28,101.1828222,8.629711422,6.939401897
0.002,0.1503,0.999,0.7,0.09333333,278.365,248.167,237.47,99.74396856,8.514610371,8.836552108
0.002,0.1503,0.999,0.7,0.17666667,276.382,245.327,232.57,98.78881851,8.525282461,9.962835545
0.002,0.1503,0.999,0.7,0.25,274.823,243.306,229.25,98.10025468,8.510685768,10.66643775
0.002,0.32,0.001,0.7,0.01,282.901,253.802,246.6,101.6715055,8.625697199,6.983559628
0.002,0.32,0.001,0.7,0.09333333,281.156,251.101,240.37,100.7409658,8.435694729,8.816480421
0.002,0.32,0.001,0.7,0.17666667,279.991,249.298,236.34,100.1231403,8.33704077,9.979160287
0.002,0.32,0.001,0.7,0.25,279.14,248.03,233.61,99.68840908,8.273922377,10.7486831
0.002,0.32,0.25,0.7,0.01,282.566,253.49,246.37,101.5642281,8.632449677,6.944141213
0.002,0.32,0.25,0.7,0.09333333,280.517,250.471,239.86,100.5265795,8.456942549,8.758432844
0.002,0.32,0.25,0.7,0.17666667,279.193,248.444,235.7,99.83871434,8.395579257,9.888928344
0.002,0.32,0.25,0.7,0.25,278.188,247.022,232.86,99.35133965,8.340863972,10.63896546
0.002,0.32,0.5,0.7,0.01,282.234,253.191,246.15,101.4607614,8.635578209,6.904413394
0.002,0.32,0.5,0.7,0.09333333,279.904,249.842,239.37,100.314471,8.487680281,8.700101683
0.002,0.32,0.5,0.7,0.17666667,278.412,247.603,235.04,99.55796835,8.449380783,9.820111447
0.002,0.32,0.5,0.7,0.25,277.235,246.006,232.08,99.01158031,8.406878519,10.54105912
0.002,0.32,0.75,0.7,0.01,281.916,252.892,245.93,101.3585454,8.642958379,6.866136823
0.002,0.32,0.75,0.7,0.09333333,279.318,249.213,238.88,100.1046808,8.529111957,8.643062056
0.002,0.32,0.75,0.7,0.17666667,277.617,246.777,234.41,99.27989862,8.496124794,9.737850925
0.002,0.32,0.75,0.7,0.25,276.311,245.006,231.39,98.67968213,8.486844516,10.41342145
0.002,0.32,0.999,0.7,0.01,281.609,252.6,245.71,101.2585031,8.65098743,6.832736669
0.002,0.32,0.999,0.7,0.09333333,278.731,248.597,238.41,99.89845661,8.565391326,8.582714402
0.002,0.32,0.999,0.7,0.17666667,276.862,245.929,233.75,98.99968763,8.564585633,9.663130677
0.002,0.32,0.999,0.7,0.25,275.372,244.037,230.66,98.3529069,8.540964235,10.31045421
0.0148,0.003,0.001,0.7,0.01,276.35,244.322,230.77,98.50541485,8.755523036,10.48250129
0.0148,0.003,0.001,0.7,0.09333333,268.847,231.895,206.66,94.36391515,8.955835629,16.95140243
0.0148,0.003,0.001,0.7,0.17666667,263.744,224.095,192.62,91.75125376,9.194391711,20.50692375
0.0148,0.003,0.001,0.7,0.25,259.949,218.921,183.55,89.98499464,9.272341148,22.71934482
0.0148,0.003,0.25,0.7,0.01,274.488,242.584,229.79,97.91125571,8.839161142,10.11813679
0.0148,0.003,0.25,0.7,0.09333333,265.152,228.646,204.42,93.21334392,8.969018511,16.45061822
0.0148,0.003,0.25,0.7,0.17666667,258.771,219.868,189.8,90.23154147,9.159825505,19.79381612
0.0148,0.003,0.25,0.7,0.25,254.517,213.997,180.28,88.23911459,9.366149803,21.93580802
0.0148,0.003,0.5,0.7,0.01,272.586,240.983,228.85,97.34694203,8.846951684,9.770670323
0.0148,0.003,0.5,0.7,0.09333333,261.381,225.508,202.41,92.08554203,8.932006288,15.8557243
0.0148,0.003,0.5,0.7,0.17666667,254.231,215.858,187.23,88.80322919,9.2080643,19.08218212
0.0148,0.003,0.5,0.7,0.25,249.331,209.381,177.58,86.59472466,9.468578137,20.99809663
0.0148,0.003,0.75,0.7,0.01,270.898,239.414,228.02,96.81019609,8.929221385,9.412083589
0.0148,0.003,0.75,0.7,0.09333333,258.03,222.599,200.41,91.04688868,8.930220857,15.3934479
0.0148,0.003,0.75,0.7,0.17666667,249.925,212.251,184.69,87.4893954,9.139387849,18.52173013
0.0148,0.003,0.75,0.7,0.25,244.375,205.068,174.68,85.03463172,9.473667275,20.29536328
0.0148,0.003,0.999,0.7,0.01,269.243,237.857,227.21,96.27899483,9.021372702,9.048643768
0.0148,0.003,0.999,0.7,0.09333333,255.034,219.861,198.39,90.07791552,8.967311039,15.04580251
0.0148,0.003,0.999,0.7,0.17666667,245.984,208.726,182.13,86.2241748,9.161482115,18.04663544
0.0148,0.003,0.999,0.7,0.25,239.589,200.921,171.98,83.52878685,9.484265986,19.5667175
0.0148,0.0175,0.001,0.7,0.01,276.356,244.353,230.81,98.51429285,8.747725672,10.47463199
0.0148,0.0175,0.001,0.7,0.09333333,268.862,231.933,206.75,94.37616685,8.953942285,16.92254856
0.0148,0.0175,0.001,0.7,0.17666667,263.803,224.139,192.68,91.76832632,9.201143883,20.50119445
0.0148,0.0175,0.001,0.7,0.25,259.974,218.968,183.54,89.99848055,9.257114692,22.74089918
0.0148,0.0175,0.25,0.7,0.01,274.495,242.598,229.79,97.91527014,8.834079516,10.12447002
